location_id	depth_of_hole[cm]	FDR_reading1[mV]	FDR_reading2[mV]	FDR_reading3[mV]	time	device	remarks	V_corr1[V]	V_corr2[V]	V_corr3[V]	epsilon1	epsilon2	epsilon3	theta_1[cm3/cm3]	theta_2[cm3/cm3]	theta_3[cm3/cm3]	theta_mean[cm3/cm3]
233	11	799	816	794	2019-06-26T12:40Z	323/006		0.914	0.933	0.907	20.207	21.019	19.976	0.380	0.383	0.379	0.381
233	15	868	849	854	2019-06-26T12:40Z	323/006		0.995	0.972	0.977	23.785	22.721	22.995	0.371	0.369	0.369	0.370
233	20	878	878	877	2019-06-26T12:40Z	323/006		1.006	1.005	1.004	24.371	24.371	24.311	0.376	0.376	0.376	0.376
233	25	920	912	895	2019-06-26T12:40Z	323/006		1.055	1.045	1.025	27.049	26.510	25.411	0.410	0.409	0.407	0.409
233	30	725	819	786	2019-06-26T12:40Z	323/006		0.827	0.936	0.898	17.115	21.166	19.614				
234	0	1031	1019	1035	2019-06-26T13:05Z	323/006	lehmig. feucht	1.185	1.170	1.189	36.195	35.036	36.592	0.610	0.607	0.612	0.610
234	5	966	948	985	2019-06-26T13:05Z	323/006		1.109	1.087	1.131	30.436	29.050	31.993	0.508	0.504	0.512	0.508
234	11	829	853	898	2019-06-26T13:05Z	323/006	seperate Stelle 10 cm entfernt	0.949	0.976	1.029	21.669	22.940	25.601	0.385	0.389	0.396	0.390
234	15	964	975	969	2019-06-26T13:05Z	323/006		1.107	1.119	1.112	30.278	31.161	30.676	0.385	0.386	0.385	0.385
234	20	948	933	925	2019-06-26T13:05Z	323/006		1.088	1.070	1.060	29.050	27.955	27.393	0.386	0.384	0.383	0.384
234	24	921	924	939	2019-06-26T13:05Z	323/006		1.057	1.059	1.077	27.117	27.324	28.386	0.411	0.411	0.413	0.412
234	29	847	889	893	2019-06-26T13:05Z	323/006		0.970	1.018	1.023	22.613	25.037	25.286				
235	0	1060	1057	1051	2019-06-26T13:25Z	323/006	humusreich. feucht glänz.	1.219	1.215	1.208	39.197	38.873	38.234	0.618	0.618	0.616	0.617
235	5	1050	1030	1020	2019-06-26T13:25Z	323/006		1.208	1.183	1.172	38.129	36.097	35.131	0.525	0.521	0.519	0.522
235	10	1008	984	977	2019-06-26T13:25Z	323/006	lehmig. feucht	1.158	1.129	1.121	34.013	31.908	31.325	0.411	0.408	0.407	0.409
235	15	929	945	920	2019-06-26T13:25Z	323/006		1.066	1.084	1.055	27.672	28.826	27.049	0.380	0.382	0.379	0.380
235	22	937	887	913	2019-06-26T13:25Z	323/006		1.075	1.016	1.046	28.242	24.914	26.577	0.385	0.378	0.381	0.381
235	25	929	937	929	2019-06-26T13:25Z	323/006	tonig	1.066	1.074	1.065	27.672	28.242	27.672	0.412	0.413	0.412	0.412
235	31	939	941	923	2019-06-26T13:25Z	323/006		1.078	1.079	1.058	28.386	28.532	27.255				
236	0	976	953	976	2019-06-26T13:40Z	323/006	Streu. Moos. teils entfernt	1.121	1.093	1.120	31.243	29.427	31.243	0.595	0.588	0.595	0.593
236	7	831	945	909	2019-06-26T13:40Z	323/006		0.951	1.084	1.042	21.771	28.826	26.312	0.479	0.504	0.496	0.493
236	10	935	953	953	2019-06-26T13:40Z	323/006	lehmig	1.073	1.093	1.093	28.098	29.427	29.427	0.401	0.404	0.404	0.403
236	15	907	868	906	2019-06-26T13:40Z	323/006		1.040	0.994	1.038	26.181	23.785	26.116	0.377	0.371	0.377	0.375
236	20	861	730	898	2019-06-26T13:40Z	323/006	tonig	0.986	0.832	1.029	23.385	17.304	25.601	0.374	0.353	0.379	0.369
236	25	866	732	884	2019-06-26T13:40Z	323/006		0.992	0.835	1.012	23.670	17.380	24.731	0.402	0.379	0.405	0.395
236	30	849	864	851	2019-06-26T13:40Z	323/006	tonig mit Bräunungsfl.	0.972	0.989	0.974	22.721	23.555	22.830				
237	0	1075	1080	1040	2019-06-26T14:00Z	323/006		1.237	1.242	1.195	40.868	41.444	37.096	0.622	0.624	0.613	0.620
237	5	1003	1003	996	2019-06-26T14:00Z	323/006		1.153	1.152	1.143	33.561	33.561	32.940	0.516	0.516	0.514	0.515
237	10	891	843	911	2019-06-26T14:00Z	323/006		1.021	0.965	1.044	25.161	22.399	26.444	0.394	0.387	0.397	0.393
237	16	885	875	884	2019-06-26T14:00Z	323/006		1.014	1.002	1.012	24.792	24.193	24.731	0.374	0.372	0.374	0.373
237	20	777	831	771	2019-06-26T14:00Z	323/006		0.888	0.950	0.880	19.217	21.771	18.958	0.361	0.369	0.360	0.363
237	25	888	865	839	2019-06-26T14:00Z	323/006	lehmig bis tonig	1.018	0.990	0.960	24.976	23.612	22.187	0.405	0.402	0.398	0.402
237	31	773	813	782	2019-06-26T14:00Z	323/006		0.883	0.929	0.893	19.044	20.872	19.436				
238	0	691	797	782	2019-06-26T14:20Z	323/006		0.787	0.911	0.893	15.898	20.114	19.436	0.509	0.542	0.538	0.530
238	5	663	829	705	2019-06-26T14:20Z	323/006		0.755	0.948	0.803	14.975	21.669	16.386	0.435	0.474	0.446	0.452
238	10	838	958	951	2019-06-26T14:20Z	323/006		0.959	1.099	1.091	22.134	29.810	29.275	0.418	0.438	0.437	0.431
238	15	996	1004	1021	2019-06-26T14:20Z	323/006		1.144	1.153	1.173	32.940	33.651	35.226	0.433	0.435	0.437	0.435
238	20	1052	1004	1008	2019-06-26T14:20Z	323/006		1.210	1.153	1.157	38.339	33.651	34.013	0.458	0.451	0.452	0.454
238	25	1032	1004	951	2019-06-26T14:20Z	323/006		1.186	1.153	1.091	36.294	33.651	29.275	0.458	0.453	0.445	0.452
238	30	951	1038	1031	2019-06-26T14:20Z	323/006		1.092	1.193	1.184	29.275	36.893	36.195				
239	0	978	957	946	2019-06-26T14:35Z	323/006		1.123	1.098	1.085	31.408	29.733	28.900	0.596	0.590	0.586	0.591
239	5	988	974	992	2019-06-26T14:35Z	323/006		1.135	1.118	1.139	32.248	31.080	32.591	0.513	0.510	0.513	0.512
239	11	829	828	833	2019-06-26T14:35Z	323/006		0.949	0.947	0.953	21.669	21.618	21.874	0.385	0.385	0.385	0.385
239	15	877	831	790	2019-06-26T14:35Z	323/006	lehmig mit einzelnen Steinen	1.005	0.950	0.903	24.311	21.771	19.794	0.373	0.366	0.360	0.366
239	20	872	844	918	2019-06-26T14:35Z	323/006		0.999	0.966	1.052	24.017	22.452	26.913	0.376	0.371	0.382	0.376
239	25	863	850	843	2019-06-26T14:35Z	323/006		0.989	0.973	0.965	23.499	22.776	22.399	0.402	0.399	0.398	0.400
239	30	878	828	888	2019-06-26T14:35Z	323/006		1.006	0.947	1.017	24.371	21.618	24.976				
240	0	449	442	443	2019-06-26T14:50Z	323/006		0.504	0.496	0.497	9.479	9.329	9.350	0.425	0.422	0.422	0.423
240	5	560	526	529	2019-06-26T14:50Z	323/006		0.634	0.594	0.597	12.057	11.220	11.292	0.411	0.401	0.402	0.405
240	10	444	518	588	2019-06-26T14:50Z	323/006		0.498	0.584	0.666	9.372	11.030	12.787	0.305	0.325	0.341	0.324
240	15	480	544	517	2019-06-26T14:50Z	323/006		0.540	0.615	0.583	10.158	11.657	11.007	0.299	0.315	0.308	0.307
240	20	636	478	579	2019-06-26T14:50Z	323/006		0.723	0.538	0.656	14.143	10.114	12.548	0.337	0.302	0.325	0.321
240	26	571	656	699	2019-06-26T14:50Z	323/006		0.647	0.746	0.796	12.339	14.754	16.175	0.347	0.365	0.373	0.362
240	31	687	628	567	2019-06-26T14:50Z	323/006		0.783	0.713	0.642	15.762	13.907	12.236				
301	0	882	868	869		079/053	stony. presumably old dumpings	1.047	1.030	1.032	24.610	23.785	23.842	0.447	0.445	0.445	0.446
301	5	727	632	703		079/053		0.860	0.745	0.831	17.191	14.025	16.315	0.336	0.319	0.332	0.329
301	10	722	772	866		079/053		0.854	0.914	1.028	17.003	19.001	23.670	0.355	0.363	0.378	0.365
301	15	639	553	549		079/053		0.753	0.649	0.644	14.233	11.881	11.781	0.323	0.306	0.305	0.311
301	20	624	667	606		079/053		0.735	0.787	0.713	13.790	15.102	13.279	0.344	0.353	0.341	0.346
301	25	638	686	579		079/053		0.752	0.810	0.680	14.203	15.728	12.548	0.326	0.334	0.315	0.325
301	32	747	613	651		079/053		0.884	0.722	0.768	17.966	13.476	14.598	0.332	0.309	0.316	0.319
302	0	666	707	706		079/053	stony	0.786	0.835	0.834	15.070	16.457	16.421	0.404	0.413	0.412	0.409
302	7	770	738	792		079/053		0.912	0.873	0.938	18.915	17.612	19.885	0.343	0.338	0.346	0.342
302	12	733	749	793		079/053		0.867	0.886	0.940	17.419	18.046	19.930	0.357	0.360	0.367	0.361
302	15	774	633	650		079/053		0.917	0.746	0.766	19.087	14.054	14.567	0.345	0.321	0.325	0.330
302	19	735	696	662		079/053		0.869	0.822	0.781	17.496	16.070	14.943	0.365	0.358	0.352	0.358
302	25	745	722	714		079/053		0.881	0.854	0.844	17.887	17.003	16.709	0.344	0.341	0.339	0.341
302	29	726	686	684		079/053		0.858	0.810	0.808	17.153	15.728	15.661	0.329	0.322	0.322	0.324
303	0	761	768	768		079/053		0.901	0.909	0.909	18.536	18.830	18.830	0.424	0.425	0.425	0.425
303	6	502	530	530		079/053		0.587	0.621	0.621	10.657	11.316	11.316	0.292	0.299	0.299	0.297
303	10	471	566	705		079/053		0.550	0.665	0.833	9.958	12.210	16.386	0.303	0.325	0.352	0.327
303	15	667	666	697		079/053		0.787	0.786	0.823	15.102	15.070	16.105	0.328	0.327	0.333	0.329
303	19	621	678	580		079/053		0.731	0.800	0.682	13.704	15.461	12.575	0.344	0.355	0.335	0.345
303	24	815	767	687		079/053		0.966	0.908	0.811	20.970	18.788	15.762	0.355	0.348	0.335	0.346
303	28	726	540	511		079/053		0.858	0.633	0.598	17.153	11.559	10.866	0.329	0.295	0.288	0.304
304	0	735	793	760		079/053		0.869	0.940	0.900	17.496	19.930	18.495	0.418	0.430	0.424	0.424
304	5	592	708	651		079/053		0.696	0.837	0.768	12.895	16.493	14.598	0.312	0.333	0.323	0.322
304	10	728	754	740		079/053		0.861	0.892	0.875	17.228	18.248	17.690	0.356	0.360	0.358	0.358
304	15	746	584	760		079/053		0.883	0.686	0.900	17.926	12.681	18.495	0.341	0.312	0.343	0.332
304	19	663	561	643		079/053		0.782	0.659	0.758	14.975	12.083	14.354	0.352	0.331	0.348	0.344
304	24	678	668	703		079/053		0.800	0.788	0.831	15.461	15.135	16.315	0.333	0.331	0.337	0.334
304	29	720	621	702		079/053		0.851	0.731	0.829	16.929	13.704	16.280	0.328	0.311	0.325	0.321
305	0	868	870	819		079/053		1.030	1.033	0.971	23.785	23.900	21.166	0.445	0.445	0.435	0.442
305	8	815	803	763		079/053		0.966	0.952	0.903	20.970	20.394	18.620	0.370	0.368	0.362	0.367
305	10	746	827	816		079/053		0.883	0.981	0.967	17.926	21.567	21.019	0.359	0.372	0.370	0.367
305	17	815	806	785		079/053		0.966	0.955	0.930	20.970	20.536	19.569	0.351	0.350	0.347	0.349
305	22	817	833	821		079/053		0.969	0.988	0.974	21.068	21.874	21.266	0.378	0.381	0.379	0.379
305	28	723	684	803		079/053		0.855	0.808	0.952	17.041	15.661	20.394	0.328	0.322	0.340	0.330
305	33	829	825	820		079/053		0.983	0.978	0.972	21.669	21.466	21.216				
306	0	693	644	667		079/053		0.818	0.759	0.787	15.967	14.384	15.102	0.432	0.420	0.426	0.426
306	6	610	625	586		079/053		0.718	0.736	0.689	13.391	13.820	12.734	0.382	0.386	0.377	0.382
306	10	636	601	619		079/053		0.749	0.707	0.729	14.143	13.141	13.646	0.383	0.375	0.380	0.379
306	14	479	518	491		079/053		0.559	0.606	0.574	10.136	11.030	10.406	0.340	0.351	0.344	0.345
306	20	371	392	463		079/053		0.428	0.454	0.540	7.860	8.286	9.783	0.278	0.286	0.308	0.291
306	25	693	564	633		079/053		0.818	0.662	0.746	15.967	12.159	14.054	0.356	0.330	0.345	0.344
306	29	655	648	683		079/053		0.772	0.764	0.806	14.723	14.506	15.627	0.351	0.350	0.357	0.353
307	0	861	815	812		079/053		1.022	0.966	0.963	23.385	20.970	20.824	0.469	0.459	0.459	0.462
307	10	816	791	768		079/053		0.967	0.937	0.909	21.019	19.839	18.830	0.419	0.414	0.410	0.415
307	15	736	794	830		079/053		0.871	0.941	0.984	17.534	19.976	21.720				
307	20	586	723	699		079/053		0.689	0.855	0.826	12.734	17.041	16.175	0.338	0.364	0.360	0.354
307	24	810	822	816		079/053		0.960	0.975	0.967	20.727	21.315	21.019	0.376	0.377	0.376	0.376
307	29	727	703	742		079/053		0.860	0.831	0.878	17.191	16.315	17.768	0.364	0.360	0.367	0.364
308	0	787	758	719		079/053		0.932	0.897	0.850	19.659	18.412	16.892	0.453	0.447	0.438	0.446
308	7	541	690	665		079/053		0.634	0.815	0.785	11.583	15.864	15.038	0.366	0.400	0.395	0.387
308	12	740	634	731		079/053		0.875	0.747	0.865	17.690	14.084	17.342	0.399	0.378	0.398	0.392
308	15	720	743	802		079/053		0.851	0.879	0.951	16.929	17.808	20.347				
308	20	640	659	768		079/053		0.754	0.777	0.909	14.263	14.848	18.830	0.349	0.352	0.372	0.358
308	24	723	745	711		079/053		0.855	0.881	0.840	17.041	17.887	16.600	0.361	0.365	0.359	0.362
308	29	723	697	739		079/053		0.855	0.823	0.874	17.041	16.105	17.651	0.364	0.359	0.367	0.363
309	0	826	785	811		079/053		0.980	0.930	0.961	21.516	19.569	20.776	0.462	0.453	0.458	0.458
309	5					079/053	Stein										
309	10	672	682	689		079/053		0.793	0.805	0.814	15.264	15.594	15.830	0.391	0.393	0.394	0.393
309	15	646	669	733		079/053		0.762	0.789	0.867	14.445	15.167	17.419				
309	20	624	646	608		079/053		0.735	0.762	0.716	13.790	14.445	13.335	0.346	0.350	0.342	0.346
309	24	638	636	641		079/053		0.752	0.749	0.755	14.203	14.143	14.293	0.346	0.345	0.346	0.346
309	30	701	675	700		079/053		0.828	0.797	0.827	16.245	15.362	16.209	0.360	0.355	0.360	0.358
310	0	631	661	657		079/053		0.743	0.780	0.775	13.995	14.911	14.785	0.417	0.424	0.424	0.422
310	7	447	544	510		079/053		0.520	0.638	0.597	9.436	11.657	10.843	0.339	0.366	0.358	0.354
310	10	551	626	575		079/053		0.646	0.737	0.676	11.831	13.849	12.443	0.364	0.381	0.369	0.371
310	18	402	437	509		079/053		0.466	0.508	0.596	8.491	9.222	10.819	0.289	0.301	0.320	0.303
310	21	652	635	624		079/053		0.769	0.748	0.735	14.629	14.113	13.790	0.348	0.345	0.343	0.345
310	25	665	624	532		079/053		0.785	0.735	0.623	15.038	13.790	11.364	0.351	0.343	0.323	0.339
310	30	793	729	757		079/053		0.940	0.862	0.896	19.930	17.266	18.371	0.376	0.365	0.370	0.370
311	0	585	559	570		079/053	very loose soil	0.688	0.656	0.669	12.707	12.032	12.313	0.385	0.378	0.381	0.382
311	8	595	607	682		079/053	humoser Waldboden	0.700	0.714	0.805	12.976	13.307	15.594	0.331	0.334	0.348	0.338
311	13	515	552	618		079/053		0.603	0.648	0.728	10.960	11.856	13.618	0.297	0.305	0.319	0.307
311	15	703	718	761		079/053		0.831	0.849	0.901	16.315	16.855	18.536	0.334	0.336	0.343	0.338
311	20	769	767	762		079/053		0.911	0.908	0.902	18.872	18.788	18.578	0.370	0.370	0.369	0.370
311	25	827	832	748		079/053		0.981	0.987	0.885	21.567	21.822	18.006	0.357	0.358	0.345	0.353
311	30	880	879	879		079/053		1.045	1.044	1.044	24.490	24.430	24.430	0.351	0.351	0.351	0.351
312	0	858	864	857		079/053		1.018	1.026	1.017	23.217	23.555	23.161	0.561	0.562	0.560	0.561
312	6	859	813	825		079/053		1.020	0.964	0.978	23.273	20.872	21.466	0.485	0.475	0.477	0.479
312	10	872	882	815		079/053		1.035	1.047	0.966	24.017	24.610	20.970	0.392	0.393	0.383	0.389
312	15	871	851	847		079/053		1.034	1.010	1.005	23.959	22.830	22.613	0.372	0.369	0.368	0.370
312	22	744	843	859		079/053	clayey soil	0.880	1.000	1.020	17.847	22.399	23.273	0.356	0.371	0.374	0.367
312	28	802	823	880		079/053		0.951	0.976	1.045	20.347	21.365	24.490				
312	35	843	894	891		079/053		1.000	1.062	1.058	22.399	25.348	25.161				
313	0	577	487	447		079/053	humoser Waldboden	0.678	0.569	0.520	12.496	10.315	9.436	0.528	0.488	0.469	0.495
313	10	386	438	493		079/053	GPS	0.447	0.510	0.576	8.163	9.244	10.451				
313	15	430	415	427		079/053		0.500	0.482	0.496	9.074	8.760	9.011	0.349	0.344	0.348	0.347
313	20	568	492	512		079/053		0.667	0.575	0.599	12.262	10.429	10.889				
313	23	595	662	640		079/053		0.700	0.781	0.754	12.976	14.943	14.263	0.364	0.378	0.373	0.372
313	30	428	532	619		079/053		0.497	0.623	0.729	9.032	11.364	13.646	0.318	0.348	0.367	0.344
314	0	264	266	286		079/053	humoser Waldboden	0.299	0.301	0.325	5.760	5.799	6.184	0.310	0.312	0.326	0.316
314	8	256	265	231		079/053	GPS ?	0.289	0.300	0.259	5.607	5.779	5.129	0.278	0.284	0.258	0.274
314	10	235	271	308		079/053	Linde	0.264	0.307	0.352	5.205	5.895	6.612	0.262	0.289	0.311	0.287
314	15	304	301	313		079/053	trade points an der Stelle?	0.347	0.344	0.358	6.534	6.476	6.710	0.290	0.288	0.295	0.291
314	19	323	338	368		079/053		0.370	0.388	0.425	6.906	7.201	7.799				
314	24	358	390	415		079/053		0.413	0.451	0.482	7.599	8.245	8.760	0.316	0.330	0.339	0.328
314	28	408	439	433		079/053		0.473	0.511	0.503	8.614	9.265	9.137	0.314	0.325	0.323	0.320
315	0	427	386	365	2019-06-25T14:40Z	079/053	humoser Waldboden	0.496	0.447	0.421	9.011	8.163	7.739	0.358	0.342	0.333	0.344
315	6	397	422	416	2019-06-25T14:40Z	079/053	GPS	0.460	0.490	0.483	8.388	8.906	8.781	0.322	0.331	0.329	0.327
315	10	349	403	415	2019-06-25T14:40Z	079/053		0.402	0.467	0.482	7.419	8.511	8.760	0.298	0.320	0.324	0.314
315	15	377	397	410	2019-06-25T14:40Z	079/053		0.436	0.460	0.476	7.981	8.388	8.656				
315	19	415	441	460	2019-06-25T14:40Z	079/053		0.482	0.513	0.536	8.760	9.308	9.717	0.294	0.302	0.307	0.301
315	25	333	401	422	2019-06-25T14:40Z	079/053		0.382	0.465	0.490	7.103	8.470	8.906	0.259	0.286	0.293	0.280
315	30	317	386	368	2019-06-25T14:40Z	079/053		0.363	0.447	0.425	6.788	8.163	7.799	0.254	0.283	0.276	0.271
316	0	358	320	302	2019-06-25T15:00Z	079/053	GPS	0.413	0.367	0.345	7.599	6.847	6.495	0.421	0.397	0.384	0.400
316	7	206	312	306	2019-06-25T15:00Z	079/053	humoser Waldboden	0.228	0.357	0.350	4.657	6.690	6.573	0.225	0.302	0.299	0.275
316	11	193	210	213	2019-06-25T15:00Z	079/053		0.213	0.233	0.237	4.412	4.732	4.788				
316	16	409	322	374	2019-06-25T15:00Z	079/053		0.474	0.369	0.432	8.635	6.886	7.920	0.342	0.304	0.328	0.325
316	21	336	393	361	2019-06-25T15:00Z	079/053	2. Lock wg. Gr. Stein	0.386	0.455	0.416	7.162	8.306	7.659				
316	24	383	405	418	2019-06-25T15:00Z	079/053		0.443	0.470	0.485	8.102	8.552	8.822	0.304	0.312	0.316	0.311
316	30	431	441	442	2019-06-25T15:00Z	079/053		0.501	0.513	0.514	9.095	9.308	9.329	0.319	0.322	0.323	0.321
317	0	325	302	351		079/053	GPS	0.373	0.345	0.404	6.945	6.495	7.459	0.400	0.384	0.416	0.400
317	7	364	366	365		079/053		0.420	0.422	0.421	7.719	7.759	7.739	0.327	0.328	0.328	0.328
317	10	465	383	438		079/053		0.542	0.443	0.510	9.826	8.102	9.244				
317	14	546	523	474		079/053		0.640	0.613	0.553	11.707	11.149	10.025	0.393	0.387	0.372	0.384
317	19	641	546	495		079/053		0.755	0.640	0.579	14.293	11.707	10.497	0.399	0.376	0.362	0.379
317	24	492	451	617		079/053		0.575	0.525	0.726	10.429	9.522	13.589	0.339	0.327	0.369	0.345
317	28	725	741	739		079/053		0.857	0.877	0.874	17.115	17.729	17.651	0.389	0.392	0.391	0.391
318	0	342	315	380		079/053	GPS	0.393	0.361	0.439	7.280	6.749	8.041	0.411	0.393	0.433	0.412
318	7	396	391	413		079/053		0.459	0.453	0.479	8.367	8.265	8.718	0.341	0.339	0.347	0.342
318	10	464	420	636		079/053		0.541	0.488	0.749	9.805	8.864	14.143				
318	15	501	557	576		079/053		0.586	0.654	0.677	10.634	11.981	12.469	0.372	0.388	0.392	0.384
318	20	603	560	672		079/053		0.709	0.657	0.793	13.196	12.057	15.264				
318	25	579	505	539		079/053		0.680	0.591	0.632	12.548	10.727	11.534	0.360	0.342	0.351	0.351
318	29	698	498	672		079/053		0.825	0.582	0.793	16.140	10.565	15.264	0.384	0.339	0.378	0.367
319	0	905	878	874	2019-06-25T16:00Z	079/053	GPS	1.075	1.043	1.038	26.050	24.371	24.134	0.662	0.651	0.649	0.654
319	7	686	808	801	2019-06-25T16:00Z	079/053		0.810	0.958	0.949	15.728	20.631	20.300	0.423	0.450	0.448	0.440
319	11	772	802	844	2019-06-25T16:00Z	079/053		0.914	0.951	1.001	19.001	20.347	22.452				
319	16	618	478	686	2019-06-25T16:00Z	079/053		0.728	0.558	0.810	13.618	10.114	15.728	0.403	0.365	0.419	0.396
319	20	686	457	566	2019-06-25T16:00Z	079/053		0.810	0.533	0.665	15.728	9.652	12.210				
319	25	668	761	684	2019-06-25T16:00Z	079/053		0.788	0.901	0.808	15.135	18.536	15.661	0.379	0.397	0.382	0.386
319	30	645	653	672	2019-06-25T16:00Z	079/053		0.760	0.770	0.793	14.414	14.660	15.264	0.373	0.375	0.378	0.375
320	0	494	432	480		079/053	GPS	0.577	0.502	0.560	10.474	9.116	10.158	0.491	0.461	0.485	0.479
320	5	420	459	498		079/053		0.488	0.535	0.582	8.864	9.695	10.565	0.350	0.363	0.375	0.363
320	13	564	525	497		079/053		0.662	0.615	0.581	12.159	11.196	10.543	0.398	0.387	0.379	0.388
320	16	524	539	551		079/053		0.614	0.632	0.646	11.173	11.534	11.831	0.379	0.383	0.386	0.382
320	19	606	540	565		079/053		0.713	0.633	0.663	13.279	11.559	12.185	0.391	0.375	0.381	0.382
320	22	369	370	357		079/053	sehr	0.426	0.427	0.411	7.819	7.839	7.579				
320	26	387	552	433		079/053	Steine	0.448	0.648	0.503	8.184	11.856	9.137	0.305	0.354	0.321	0.327
320	31	611	540	521		079/053		0.719	0.633	0.610	13.419	11.559	11.101	0.366	0.350	0.345	0.353
321	0	521	395	421		079/053	GPS	0.610	0.457	0.489	11.101	8.347	8.885	0.504	0.442	0.456	0.467
321	6	398	273	255		079/053		0.461	0.310	0.288	8.408	5.933	5.587	0.341	0.278	0.266	0.295
321	10	376	376	365		079/053		0.434	0.434	0.421	7.960	7.960	7.739				
321	16	365	509	481		079/053		0.421	0.596	0.562	7.739	10.819	10.181	0.324	0.374	0.366	0.355
321	20	542	518	581		079/053		0.636	0.606	0.683	11.608	11.030	12.601				
321	24	581	444	467		079/053		0.683	0.517	0.545	12.601	9.372	9.870	0.361	0.325	0.332	0.339
321	28	559	383	353		079/053		0.656	0.443	0.407	12.032	8.102	7.499	0.354	0.302	0.290	0.316
322	0	871	817	864		079/053	GPS	1.034	0.969	1.026	23.959	21.068	23.555	0.564	0.548	0.562	0.558
322	5	773	696	743		079/053		0.915	0.822	0.879	19.044	16.070	17.808	0.465	0.447	0.458	0.457
322	13	566	784	807		079/053	tonig	0.665	0.929	0.957	12.210	19.525	20.584	0.319	0.359	0.362	0.347
322	17	586	591	625		079/053		0.689	0.695	0.736	12.734	12.868	13.820	0.324	0.325	0.331	0.326
322	20	548	708	709		079/053		0.643	0.837	0.838	11.756	16.493	16.528	0.319	0.350	0.350	0.339
322	25	693	676	759		079/053		0.818	0.798	0.898	15.967	15.395	18.453	0.372	0.369	0.384	0.375
322	30	572	494	569		079/053		0.672	0.577	0.668	12.365	10.474	12.288				
323	0	583	498	509		079/053	GPS	0.685	0.582	0.596	12.654	10.565	10.819	0.453	0.425	0.429	0.436
323	7	595	616	641		079/053		0.700	0.725	0.755	12.976	13.561	14.293	0.434	0.440	0.447	0.440
323	10	768	786	770		079/053		0.909	0.931	0.912	18.830	19.614	18.915	0.459	0.463	0.460	0.461
323	15	780	779	751		079/053		0.924	0.923	0.889	19.348	19.304	18.127	0.432	0.432	0.426	0.430
323	20	768	847	645		079/053	sehr tonig	0.909	1.005	0.760	18.830	22.613	14.414	0.429	0.445	0.403	0.426
323	28	818	812	820		079/053		0.970	0.963	0.972	21.117	20.824	21.216	0.409	0.408	0.409	0.409
323	31	791	793	789		079/053		0.937	0.940	0.935	19.839	19.930	19.749				
324	0	701	651	700		079/053	GPS	0.828	0.768	0.827	16.245	14.598	16.209	0.488	0.474	0.488	0.483
324	5	712	676	718		079/053		0.842	0.798	0.849	16.637	15.395	16.855	0.465	0.456	0.467	0.463
324	10	718	667	725		079/053		0.849	0.787	0.857	16.855	15.102	17.115	0.447	0.435	0.449	0.444
324	15	687	723	709		079/053		0.811	0.855	0.838	15.762	17.041	16.528	0.412	0.420	0.417	0.417
324	20	837	866	842		079/053		0.993	1.028	0.999	22.082	23.670	22.345	0.443	0.448	0.444	0.445
324	25	856	893	892		079/053		1.016	1.061	1.060	23.106	25.286	25.223				
324	32	813	888	865		079/053		0.964	1.055	1.027	20.872	24.976	23.612				
325	0	814	821	782		079/053	GPS	0.965	0.974	0.926	20.921	21.266	19.436	0.519	0.521	0.511	0.517
325	7	831	757	777		079/053	Fahrspur	0.986	0.896	0.920	21.771	18.371	19.217	0.495	0.477	0.482	0.484
325	10	835	794	763		079/053		0.991	0.941	0.903	21.978	19.976	18.620	0.474	0.465	0.458	0.466
325	15	827	704	776		079/053		0.981	0.832	0.919	21.567	16.350	19.173	0.441	0.416	0.431	0.429
325	20	673	702	805		079/053		0.794	0.829	0.954	15.297	16.280	20.489	0.409	0.415	0.437	0.420
325	26	867	846	829		079/053		1.029	1.004	0.983	23.727	22.559	21.669	0.418	0.414	0.411	0.414
325	33	879	904	884		079/053	vergleyt	1.044	1.074	1.050	24.430	25.986	24.731				
326	0	759	713	670		079/053	GPS	0.898	0.843	0.791	18.453	16.673	15.199	0.504	0.491	0.479	0.492
326	8	485	488	542		079/053		0.566	0.570	0.636	10.270	10.338	11.608	0.385	0.386	0.402	0.391
326	10	535	606	653		079/053		0.627	0.713	0.770	11.437	13.279	14.660	0.400	0.420	0.432	0.417
326	15	450	552	492		079/053		0.524	0.648	0.575	9.500	11.856	10.429	0.351	0.381	0.364	0.365
326	19	682	666	766		079/053		0.805	0.786	0.907	15.594	15.070	18.745				
326	25	834	698	721		079/053		0.989	0.825	0.852	21.926	16.140	16.966				
326	30	533	845	857		079/053		0.625	1.003	1.017	11.389	22.505	23.161	0.351	0.414	0.416	0.393
327	0	857	854	846		079/053		1.017	1.014	1.004	23.161	22.995	22.559	0.531	0.530	0.528	0.530
327	5	802				079/053		0.951			20.347			0.488			0.488
327	12	765	860	756		079/053		0.906	1.021	0.895	18.703	23.329	18.330	0.458	0.480	0.456	0.465
327	15	737				079/053		0.872			17.573			0.423			0.423
327	20	757	760	739		079/053		0.896	0.900	0.874	18.371	18.495	17.651	0.427	0.428	0.423	0.426
327	27	755	840	810		079/053		0.894	0.997	0.960	18.289	22.239	20.727	0.398	0.413	0.408	0.406
327	32	884	833	856		079/053		1.050	0.988	1.016	24.731	21.874	23.106				
328	0	729	755	756		079/053	GPS	0.862	0.894	0.895	17.266	18.289	18.330	0.496	0.503	0.503	0.501
